    [0.73 0.88 0.75 0.84 0.70 0.68 0.75 0.95 1.00 0.14 1.00 0.70 0.74 0.82 0.75 0.79 0.78 0.83 1.00 0.74 0.79 0.85 0.79 0.83 1.00 0.85 0.72 0.69 0.85 0.76]
    [1.00 0.85 0.81 0.75 0.84 0.93 1.00 0.88 0.71 0.73 0.70 1.00 0.87 0.78 0.73 0.80 1.00 0.92 0.83 0.85 0.81 0.92 0.86 0.94 0.91 0.79 0.91 0.81 0.70 0.85]
    [0.71 0.70 0.84 0.75 0.85 0.76 0.94 0.94 0.94 0.75 0.78 0.81 1.00 0.84 0.75 1.00 0.75 1.00 1.00 0.82 0.77 0.85 0.94 0.68 1.00 0.00 0.71 0.91 0.00 0.82]
    [0.73 0.14 0.73 1.00 1.00 0.85 0.69 0.75 1.00 0.88 1.00 0.85 0.95 1.00 0.69 1.00 0.94 0.79 1.00 0.86 0.74 1.00 0.94 0.69 0.70 1.00 1.00 0.89 0.87 1.00]
    [0.85 0.73 1.00 0.92 0.76 0.82 0.74 0.76 0.89 0.86 0.72 0.92 0.83 1.00 1.00 0.75 0.87 0.77 1.00 1.00 0.69 1.00 0.92 0.90 0.82 0.89 0.89 0.88 0.78 0.80]
    [1.00 0.89 0.80 0.90 0.88 1.00 0.91 0.69 0.69 0.72 0.82 0.85 0.90 0.85 0.70 1.00 0.74 0.72 0.80 0.87 0.69 0.68 0.72 0.90 0.74 0.92 0.75 1.00 0.70 0.82]
    [0.71 0.92 0.90 0.77 0.76 0.92 0.86 0.75 0.79 0.93 0.79 0.93 0.90 0.85 0.85 0.80 1.00 0.71 0.90 0.78 0.87 1.00 0.72 0.14 0.79 0.87 0.86 0.87 0.69 0.81]
    [0.93 0.89 0.74 0.69 0.93 1.00 0.91 0.72 0.93 0.89 0.71 0.93 0.70 0.94 0.79 0.85 0.89 1.00 0.77 0.93 0.77 0.87 0.85 0.90 0.93 1.00 0.87 0.93 0.75 0.83]
    [0.85 0.81 0.70 0.92 0.91 0.79 0.83 0.94 0.14 0.76 0.70 0.73 0.68 0.69 1.00 0.74 0.69 0.78 1.00 0.81 1.00 0.74 0.72 0.89 0.86 0.89 0.91 0.84 0.79 0.69]
    [0.82 0.84 0.70 0.93 0.90 0.94 1.00 1.00 0.69 1.00 0.71 0.79 0.89 0.68 1.00 0.72 0.80 0.84 0.87 1.00 0.79 0.93 0.94 0.71 0.68 1.00 0.95 0.14 0.90 0.14]
    [0.81 0.83 0.80 0.70 0.79 1.00 0.85 0.81 1.00 1.00 0.93 0.83 0.79 0.80 0.84 0.68 0.91 1.00 0.82 0.69 1.00 0.87 0.85 0.85 0.74 0.74 0.88 0.73 1.00 0.72]
    [0.68 0.74 0.86 0.88 0.76 0.89 0.78 0.91 0.81 0.85 0.74 0.86 0.78 1.00 0.71 0.83 0.86 0.69 0.90 0.70 0.78 1.00 0.79 0.87 1.00 1.00 0.84 0.86 0.69 0.89]
    [1.00 0.86 0.84 0.89 0.78 0.72 0.74 0.14 0.69 0.90 0.73 0.87 0.78 0.70 1.00 0.77 0.95 1.00 0.71 0.68 0.83 0.78 1.00 0.77 0.93 0.76 0.86 0.72 0.14 1.00]
    [1.00 1.00 0.71 0.81 0.00 0.72 0.77 0.90 1.00 0.91 0.71 1.00 0.86 0.91 1.00 1.00 0.92 0.92 0.89 0.79 0.92 0.77 0.72 1.00 1.00 1.00 0.90 0.80 0.85 0.81]
    [0.00 1.00 0.79 0.89 0.78 0.70 0.69 0.76 0.80 1.00 0.71 0.75 0.73 0.90 0.70 0.80 0.84 1.00 0.81 1.00 0.85 0.83 0.81 0.84 1.00 0.76 0.90 0.82 0.79 0.95]
    [0.83 0.94 0.83 0.93 0.83 0.94 0.75 0.89 0.89 0.00 0.00 0.83 1.00 0.89 0.77 1.00 0.93 0.94 0.14 0.14 1.00 1.00 0.86 0.80 0.89 1.00 0.70 1.00 1.00 0.68]
    [0.82 0.75 0.81 0.77 0.79 0.73 0.85 0.87 0.76 0.84 1.00 0.74 0.79 1.00 1.00 0.82 0.78 0.94 0.85 0.88 0.94 0.69 0.82 0.73 0.77 0.73 1.00 0.92 0.81 0.88]
    [1.00 0.90 0.86 0.86 0.72 0.85 0.78 0.74 0.88 0.78 0.77 0.86 0.71 0.72 1.00 0.82 0.86 0.72 0.83 1.00 0.77 1.00 1.00 0.75 0.89 0.77 0.81 1.00 0.91 0.00]
    [0.76 0.81 0.77 0.85 0.90 0.86 0.14 0.75 0.81 0.69 0.69 0.75 0.92 0.82 0.94 0.74 0.78 0.87 0.88 0.74 0.71 1.00 0.88 0.90 0.89 0.69 0.70 0.76 1.00 0.82]
    [0.82 0.94 0.00 0.91 0.76 0.87 0.77 1.00 0.71 0.69 0.91 0.84 0.14 1.00 0.80 1.00 0.94 0.71 0.89 0.91 0.80 0.95 0.85 0.69 0.14 0.77 0.83 0.75 0.87 1.00]
];
